"","RecordNo","DateEntered","Habitat","HostSpecies","HostOrder","HostFamily","Synonyms","Food","genYr","CommonName","ProvinceI","InsectStatus","ModificationDate","InCanada","ChangeSpeciesTo","CommonNameOther","Complete","AdditionalReferences"
"99",100,"1/6/1996","Crop","Nephotettix cincticeps","Homoptera","Cicadellidae","Nephotettix bipunctata cinticeps, Nephotettix bipunctata cincticeps","Rice (Oryza sativa ), cereals, weeds","","","not in Canada","Pest","3/29/2001","N 6","Verified, Pittaway 1991. Verified, McKamey db (via Dietrich) 2001.","","",""
"100",101,"1/6/1996","Crop","Laodelphax striatellus","Homoptera","Delphacidae","","Rice (Oryza sativa ), wheat (Triticum), millet, barley (Hordeum vulgare), sugarcane  (Saccharum officinarum), grasses",">1","small brown planthopper","not in Canada","Pest","1/30/2001","N 8","","Y 8","",""
"101",102,"1/6/2096","Fields, urban, forest, crop, orchard","Apis cerana","Hymenoptera","Apidae","","Nectar and pollen from flowers","","","not in Canada","Wildlife","11/13/2000","N 67","Verified, Pittaway 1991.","","",""
"102",103,"1/6/1996","Fields, urban, forest, crop, orchard","Apis mellifera","Hymenoptera","Apidae","","Nectar and pollen from flowers","","honey bee","NF, NS, PE, NB, QC, ON, MB, SK, AB, BC, YK, NW","Beneficial","3/6/2001","Y 67","Verified, Pittaway 1991. Verified, Bosik 1997.","","",""
"103",104,"1/6/1996","","Arge pectoralis","Hymenoptera","Argidae","","","","birch sawfly","not in Canada","","4/10/2001","N 67","Verified, Bosik 1997.  Verified, OSU Hymenoptera db.","","",""
"104",105,"1/6/1996","","Diprion nipponicus","Hymenoptera","Diprionidae","Diprion nipponica","","","","not in Canada","","4/10/2001","N 67","Verified, OSU Hymenoptera db.  ","","",""
"105",106,"1/6/1996","","Diprion pini","Hymenoptera","Diprionidae","Neodiprion pini, Lophyrus pini","","","pine sawfly","not in Canada","Pest","4/10/2001","N 8, N 67","Verified, OSU Hymenoptera db.  ","Y 8","",""
"106",107,"1/6/1996","Forest","Diprion similis","Hymenoptera","Diprionidae","","Pinus spp.","","introduced pine sawfly","QC, ON","Pest","4/10/2001","Y 67","Verified, Bosik 1997. Verified, OSU Hymenoptera db.  ","","",""
"107",108,"1/6/1996","Forest","Gilpinia hercyniae","Hymenoptera","Diprionidae","Diprion hercyniae","Picea spp.","","European spruce sawfly","NF, NS, PE, NB, QC, ON, MB","Pest","4/10/2001","Y 67","Verified, Bosik 1997. Verified, OSU Hymenoptera db.  ","","",""
"108",109,"1/6/2096","","Diprion pallida","Hymenoptera","Diprionidae","Gilpinia pallida","","","","not in Canada","","2/12/2099","N 67","","","",""
"109",110,"1/6/2096","","Diprion pindrowi","Hymenoptera","Diprionidae","Gilpinia pindrowi","","","","not in Canada","","2/12/2099","N 67","","","",""
"110",111,"1/6/2096","","Diprion polytoma","Hymenoptera","Diprionidae","Gilpinia polytoma","","","","not in Canada","","2/12/2099","N 67","","","",""
"111",112,"1/6/1996","Forest","Neodiprion abietis","Hymenoptera","Diprionidae","","fir (Abies), Picea spp., Tsuga heterophylla, Pseudotsuga menziesii","","balsam fir sawfly","NF, NS, PE, NB, QC, ON, MB, SK, AB, BC, YK, NW","Pest","4/10/2001","Y 34, Y 67","Verified, Bosik 1997. Verified, OSU Hymenoptera db.  ","","",""
"112",113,"1/6/1996","Forest","Neodiprion excitans","Hymenoptera","Diprionidae","","Pinus spp.","","blackheaded pine sawfly","not in Canada","Pest","4/10/2001","N 67","Verified, Bosik 1997. Verified, OSU Hymenoptera db.  ","","",""
"113",114,"1/6/1996","Forest","Neodiprion lecontei","Hymenoptera","Diprionidae","","Pinus spp.","","redheaded pine sawfly","NB, QC, ON","Pest","4/10/2001","Y 67","Verified, Bosik 1997. Verified, OSU Hymenoptera db.  ","","",""
