RefCode,ERNntr,Host,Pathogen,Citation
151,1,Agrotis segetum,Plusia gamma NPV (PgSNPV),"Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37."
151,2,Agrotis segetum,Pieris brassicae GV,"Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37."
151,3,Agrotis exclamationis,Plusia gamma NPV (PgSNPV),"Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37."
151,4,Agrotis exclamationis,Pieris brassicae GV,"Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37."
151,5,Agrotis exclamationis,Pieris brassicae GV,"Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37."
151,6,Noctua pronuba,Plusia gamma NPV (PgSNPV),"Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37."
151,7,Noctua pronuba,Pieris brassicae GV,"Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37."
151,8,Mamestra brassicae,Plusia gamma NPV (PgSNPV),"Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37."
151,9,Mamestra brassicae,Agrotis segetum GV,"Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37."
151,10,Mamestra brassicae,Pieris brassicae GV,"Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37."
151,11,Lacanobia oleracea,Agrotis segetum NPV  (AsMNPV),"Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37."
151,12,Lacanobia oleracea,Plusia gamma NPV (PgSNPV),"Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37."
151,13,Lacanobia oleracea,Agrotis segetum GV,"Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37."
151,14,Lacanobia oleracea,Pieris brassicae GV,"Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37."
151,15,Autographa gamma,Agrotis segetum NPV  (AsMNPV),"Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37."
151,16,Autographa gamma,Agrotis segetum GV,"Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37."
151,17,Artogeia rapae,Mamestra brassicae NPV (MbMNPV),"Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37."
151,18,Artogeia rapae,Agrotis segetum NPV  (AsMNPV),"Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37."
151,19,Artogeia rapae,Plusia gamma NPV (PgSNPV),"Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37."
151,20,Artogeia rapae,Agrotis segetum GV,"Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37."
29,21,Choristoneura rosaceana,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,22,Choristoneura fumiferana,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,23,Artogeia napi,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,24,Phyciodes tharos,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,25,Ostrinia nubilalis,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,26,Campaea perlata,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,27,Nemoria mimosaria,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,28,Orthonama obstipata,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,29,Horisme intestinata,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,30,Hyles gallii,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,31,Estigmene acrea,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,32,Spilosoma congrua,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
