"","presence","Host","Virus","HighTaxon","LowTaxon","LogMaxDose","HostStageTested","Group","Order","Family"
"1",1,"Agrilus suvorovi populneus","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"2",1,"Trachys auricollis","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"3",1,"Melanophila picta","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"4",1,"Batocera lineolata","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"5",1,"Stenodryas clavigera ","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"6",1,"Chrysomela vigintipunctata","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"7",1,"Coccinella septempunctata brucki","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"8",1,"Anthonomus grandis","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"9",1,"Anthonomus grandis","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"10",1,"Curculio dentipes","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"11",1,"Anthrenus museorum","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"12",1,"Dermestes lardarius","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"13",1,"Macrodorcus rectus","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"14",1,"Macrodorcus rubrofemoratus","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"15",1,"Allomyrina dichotomus","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"16",1,"Costelytra zealandica","Costelytra zealandica IV Type 16","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"17",1,"Heteronychus arator","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"18",1,"Odontria sp.","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"19",1,"Opogonia sp.","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"20",1,"Tenebrio molitor","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"21",1,"Bibio marci","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"22",1,"Calliphora vomitoria","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"23",1,"Culicoides arboricola","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"24",1,"Culiseta annulata","Culiseta annulata IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"25",1,"Corethrella brakeleyi","Corethrella brakeleyi IV Type 13","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"26",1,"Mochlonyx velutinus","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"27",1,"Chironomus plumosus","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"28",1,"Chironomus plumosus","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"29",1,"Goeldichironomus holoprasinus","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"30",1,"Aedes aegypti","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"31",1,"Aedes albopictus","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"32",1,"Aedes annulipes","Aedes annulipes IV Type 5","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"33",1,"Aedes cantans","DNV","DNA virus","Parvoviridae",NA,NA,"Viruses",NA,NA
"34",1,"Aedes caspius","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"35",1,"Aedes cataphylla","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"36",1,"Aedes detritus","Aedes detritus IV Type 14","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"37",1,"Aedes dorsalis","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"38",1,"Aedes excrucians","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"39",1,"Aedes flavescens","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"40",1,"Aedes fulvus pallens","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"41",1,"Aedes nigromaculis","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"42",1,"Aedes sierrensis","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"43",1,"Aedes sierrensis","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"44",1,"Aedes sollicitans","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"45",1,"Aedes sticticus","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"46",1,"Aedes sticticus","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"47",1,"Aedes taeniorhynchus","Aedes taeniorhynchus IV (Blue-Green)","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"48",1,"Aedes taeniorhynchus","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"49",1,"Aedes taeniorhynchus","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"50",1,"Aedes tormentor","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"51",1,"Aedes triseriatus","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"52",1,"Aedes triseriatus","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"53",1,"Aedes vexans","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"54",1,"Aedes vexans","DNV","DNA virus","Parvoviridae",NA,NA,"Viruses",NA,NA
"55",1,"Anopheles albimanus","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"56",1,"Anopheles bradleyi","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"57",1,"Anopheles crucians","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"58",1,"Anopheles crucians","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"59",1,"Anopheles freeborni","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"60",1,"Anopheles quadrimaculatus","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"61",1,"Anopheles quadrimaculatus","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"62",1,"Anopheles stephensi","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"63",1,"Culex erraticus","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"64",1,"Culex peccator","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"65",1,"Culex peccator","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"66",1,"Culex pipiens","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"67",1,"Culex quinquefasciatus","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"68",1,"Culex restuans","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"69",1,"Culex salinarius","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"70",1,"Culex salinarius","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"71",1,"Culex salinarius","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"72",1,"Culex tarsalis","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"73",1,"Culex territans","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"74",1,"Culex territans","Culex territans IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"75",1,"Aedes cantans","Aedes cantans IV Type 4","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"76",1,"Culiseta inornata","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"77",1,"Culiseta inornata","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"78",1,"Culiseta melanura","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"79",1,"Culiseta melanura","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"80",1,"Culiseta morsitans","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"81",1,"Orthopodomyia signifera","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"82",1,"Psorophora confinnis","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"83",1,"Psorophora confinnis","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"84",1,"Psorophora confinnis","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"85",1,"Psorophora ferox","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"86",1,"Psorophora ferox","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"87",1,"Psorophora ferox","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"88",1,"Psorophora horrida","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"89",1,"Psorophora varipes","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"90",1,"Psorophora varipes","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"91",1,"Uranotaenia sapphirina","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"92",1,"Uranotaenia sapphirina","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"93",1,"Wyeomyia smithii ","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"94",1,"Rhynchosciara angelae","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"95",1,"Rhynchosciara hollaenderi","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"96",1,"Rhynchosciara milleri","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"97",1,"Prosimulium mixtum","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"98",1,"Simulium ornatum","Simulium ornatum IV Type 7","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"99",1,"Simulium tuberosum","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"100",1,"Simulium venustum","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"101",1,"Exorista sorbillans","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"102",1,"Blepharipa zebina","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"103",1,"Tipula livida","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"104",1,"Tipula oleracea","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"105",1,"Tipula paludosa","Tipula paludosa IV Type 1","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"106",1,"Tipula paludosa","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"107",1,"Lethocerus columbiae","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"108",1,"Colladonus montanus","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"109",1,"Nephotettix cincticeps","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"110",1,"Laodelphax striatellus","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"111",1,"Apis cerana","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"112",1,"Apis mellifera","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"113",1,"Arge pectoralis","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"114",1,"Diprion nipponica","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"115",1,"Diprion pini","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"116",1,"Diprion similis","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"117",1,"Gilpinia hercyniae","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"118",1,"Diprion pallida","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"119",1,"Diprion pindrowi","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"120",1,"Diprion polytoma","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"121",1,"Neodiprion abietis","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"122",1,"Neodiprion excitans","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"123",1,"Neodiprion lecontei","Neodiprion lecontei NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"124",1,"Neodiprion merkeli","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"125",1,"Neodiprion nanulus contortae","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"126",1,"Neodiprion pratti banksianae","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"127",1,"Neodiprion sertifer","Neodiprion sertifer NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"128",1,"Neodiprion swainei","Neodiprion swainei NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"129",1,"Neodiprion taedae linearis","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"130",1,"Neodiprion taedae taedae","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"131",1,"Neodiprion virginiana","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"132",1,"Iridomyrmex itoi","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"133",1,"Cephalcia abietis","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"134",1,"Cephalcia issiki","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"135",1,"Sirex juvencus","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"136",1,"Sirex noctilio","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"137",1,"Urocerus gigas gigas","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"138",1,"Urocerus tardigradus","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"139",1,"Xeris spectrum","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"140",1,"Anoplonyx destructor","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"141",1,"Nematus olfaciens","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"142",1,"Pikonema dimmockii","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"143",1,"Pristiphora erichsonii","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"144",1,"Pristiphora geniculata","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"145",1,"Trichiocampus irregularis","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"146",1,"Trichiocampus viminalis","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"147",1,"Anthela varia","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"148",1,"Pterolocera amplicornis","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"149",1,"Amsacta albistriga","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"150",1,"Amsacta moorei","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"151",1,"Arctia caja","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"152",1,"Arctia caja","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"153",1,"Arctia villica","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"154",1,"Arctia villica","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"155",1,"Ardices glatignyi","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"156",1,"Diaphora mendica","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"157",1,"Diaphora mendica","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"158",1,"Hypercompe icasia","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"159",1,"Estigmene acrea","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"160",1,"Estigmene acrea","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"161",1,"Euplagia quadripunctaria","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"162",1,"Lophocampa argentata","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"163",1,"Lophocampa caryae","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"164",1,"Hyphantria cunea","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"165",1,"Hyphantria cunea","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"166",1,"Tyria jacobaeae","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"167",1,"Tyria jacobaeae","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"168",1,"Pyrrharctia isabella","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"169",1,"Panaxia dominula","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"170",1,"Panaxia dominula","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"171",1,"Parasemia plantaginis","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"172",1,"Pericallia ricini","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"173",1,"Phragmatobia fuluginosa","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"174",1,"Rhyparia purpurata","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"175",1,"Rhyparia purpurata","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"176",1,"Spilarctia flammeolus","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"177",1,"Spilosoma lubricipeda","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"178",1,"Spilosoma lubricipeda","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"179",1,"Spilosoma lubricipeda","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"180",1,"Spilosoma subcarnea","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
